Id,Birth date,Confession,Health status,Martial status,Child age,Child gender,Invalid child,Reports,Photo rights,Статус,Created at,Russian citizenship,Education
2,10 сентября 2015,Атеизм,хорошо,Гражданский брак,18,Женский,TRUE,TRUE,TRUE,approved,"сентября 10, 2015 10:10",TRUE,Общеобразовательная школа
3,28 февраля 1990,Православие,отлично,Не женат (не замужем),16,Мужской,TRUE,TRUE,TRUE,approved,"сентября 27, 2015 15:15",TRUE,"Университет, Институт, техникум"
4,30 ноября 1984,Православие,отлично,Гражданский брак,14,Не имеет значения,TRUE,TRUE,TRUE,approved,"октября 15, 2015 11:34",TRUE,"Университет, Институт, техникум"
5,27 марта 1984,Православие,хорошо,Женат (замужем),12,Не имеет значения,TRUE,TRUE,TRUE,approved,"октября 23, 2015 06:46",TRUE,"Университет, Институт, техникум,Общеобразовательная школа"
6,18 марта 1981,Православие,отлично,Женат (замужем),17,Мужской,TRUE,TRUE,TRUE,approved,"октября 25, 2015 08:55",TRUE," - ,Университет, Институт, техникум"
7,19 ноября 1992,Православие,хорошо,Гражданский брак,12,Женский,FALSE,TRUE,TRUE,new,"октября 26, 2015 09:49",TRUE,"Университет, Институт, техникум"
8,24 июня 1982,Православие,хорошо,Гражданский брак,14,Женский,FALSE,TRUE,TRUE,new,"октября 27, 2015 05:49",TRUE,"Университет, Институт, техникум"
9,9 августа 1990,Атеизм,отлично,Женат (замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"октября 27, 2015 09:53",TRUE,"Общеобразовательная школа,Университет, Институт, техникум"
10,27 января 1989,Христианство,хорошо,Вдовец (вдова),10,Женский,TRUE,TRUE,TRUE,new,"октября 27, 2015 16:52",TRUE,
11,13 июня 2015,христианство,отлично,Женат (замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"октября 27, 2015 17:58",TRUE,"Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум,Университет, Институт, техникум"
12,27 октября 2015,Православие ,хорошо,Разведён (разведена),5,Не имеет значения,TRUE,TRUE,TRUE,new,"октября 27, 2015 20:17",FALSE, - 
13,23 ноября 1984,Провославная,отлично,Женат (замужем),12,Женский,TRUE,TRUE,TRUE,new,"октября 28, 2015 11:32",TRUE,"Университет, Институт, техникум"
14,24 сентября 1988,Православие,отлично,Не женат (не замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"октября 30, 2015 16:54",TRUE,"Университет, Институт, техникум"
15,2 августа 1987,христианство (православие),отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"ноября 02, 2015 15:23",TRUE,"Университет, Институт, техникум"
16,7 сентября 1992,Православие,отлично,Не женат (не замужем),12,Женский,TRUE,TRUE,TRUE,new,"ноября 08, 2015 18:21",TRUE,"Университет, Институт, техникум"
17,7 сентября 1992,Православие,отлично,Не женат (не замужем),12,Женский,TRUE,TRUE,TRUE,new,"ноября 08, 2015 18:24",TRUE,"Университет, Институт, техникум"
18,1 января 1992,Православие,отлично,Не женат (не замужем),12,Женский,TRUE,TRUE,TRUE,new,"ноября 11, 2015 15:30",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
19,24 августа 1979,Православие,хорошо,Женат (замужем),12,Женский,FALSE,TRUE,TRUE,approved,"ноября 11, 2015 15:51",TRUE,"Университет, Институт, техникум"
20,14 декабря 1982,Христианство ,хорошо,Женат (замужем),15,Не имеет значения,FALSE,TRUE,TRUE,new,"ноября 14, 2015 09:44",TRUE,"Университет, Институт, техникум"
21,26 января 1980,Христиане ,хорошо,Разведён (разведена),11,Не имеет значения,TRUE,TRUE,TRUE,new,"ноября 23, 2015 09:04",TRUE,"Университет, Институт, техникум"
22,25 сентября 1980,Христианство ,хорошо,Женат (замужем),10,Не имеет значения,TRUE,TRUE,TRUE,new,"ноября 23, 2015 10:07",TRUE,"Университет, Институт, техникум"
23,16 января 1984,Православие,хорошо,Разведён (разведена),15,Не имеет значения,TRUE,TRUE,TRUE,new,"ноября 23, 2015 10:56",TRUE,"Университет, Институт, техникум"
24,6 августа 1988,Агностик,отлично,Гражданский брак,12,Женский,TRUE,TRUE,TRUE,new,"ноября 25, 2015 09:07",TRUE,"Университет, Институт, техникум"
25,12 марта 1997,Православие,хорошо,Гражданский брак,13,Мужской,FALSE,TRUE,TRUE,new,"ноября 25, 2015 16:57",TRUE,Общеобразовательная школа
26,31 октября 1989,христианство ,отлично,Женат (замужем),13,Мужской,TRUE,TRUE,TRUE,new,"ноября 26, 2015 19:00",TRUE,"Дополнительные курсы, тренинги, семинары"
27,17 октября 1996,Православие,отлично,Не женат (не замужем),13,Не имеет значения,TRUE,TRUE,TRUE,new,"ноября 29, 2015 13:32",TRUE,Общеобразовательная школа
28,7 ноября 1997,Атеизм,отлично,Не женат (не замужем),12,Женский,FALSE,TRUE,TRUE,new,"декабря 01, 2015 05:37",TRUE,Общеобразовательная школа
29,4 марта 1982,Православие,хорошо,Разведён (разведена),15,Не имеет значения,FALSE,TRUE,FALSE,new,"декабря 03, 2015 05:21",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
30,22 августа 1997,Атеизм,отлично,Не женат (не замужем),12,Женский,TRUE,TRUE,TRUE,new,"декабря 03, 2015 07:11",TRUE,Общеобразовательная школа
31,21 сентября 2000,Православие,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"декабря 03, 2015 16:49",TRUE,Общеобразовательная школа
32,21 сентября 2000,Православие,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"декабря 04, 2015 16:47",TRUE,Общеобразовательная школа
33,10 февраля 1979,православный,отлично,Разведён (разведена),12,Мужской,TRUE,TRUE,TRUE,approved,"декабря 10, 2015 10:01",TRUE,"Университет, Институт, техникум,Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум"
34,22 апреля 1993,Православие,хорошо,Гражданский брак,12,Не имеет значения,TRUE,TRUE,TRUE,approved,"декабря 10, 2015 10:37",TRUE,"Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум"
35,16 января 1989,Христианство,отлично,Не женат (не замужем),15,Женский,TRUE,TRUE,TRUE,new,"декабря 14, 2015 16:37",TRUE,"Университет, Институт, техникум"
36,7 апреля 1994,Атеизм,хорошо,Не женат (не замужем),13,Не имеет значения,TRUE,TRUE,TRUE,new,"декабря 16, 2015 09:15",TRUE,"Университет, Институт, техникум"
37,6 октября 1993,Атеизм,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"декабря 23, 2015 11:31",TRUE," - ,Общеобразовательная школа"
38,3 февраля 1983,Христианин,хорошо,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,FALSE,new,"декабря 26, 2015 05:15",FALSE,"Дополнительные курсы, тренинги, семинары"
39,25 февраля 1980,Православие,хорошо,Разведён (разведена),12,Мужской,FALSE,TRUE,TRUE,new,"января 08, 2016 14:59",TRUE,"Университет, Институт, техникум"
40,9 марта 1968,"Атеизм, но христианство не отвергаю",хорошо,Женат (замужем),12,Не имеет значения,TRUE,TRUE,FALSE,new,"января 08, 2016 17:17",TRUE,"Университет, Институт, техникум"
41,30 ноября 1990,Православие,хорошо,Гражданский брак,12,Не имеет значения,FALSE,TRUE,TRUE,new,"января 10, 2016 17:20",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
42,2 января 1987,Христианство,отлично,Женат (замужем), Мащенко Владимир Николаевич 16 лет (Коррекционный детский дом №1).,Мужской,TRUE,TRUE,TRUE,new,"января 11, 2016 12:49",TRUE,"Университет, Институт, техникум"
43,28 января 1962,Православие,хорошо,Женат (замужем),12,Не имеет значения,FALSE,TRUE,FALSE,new,"января 12, 2016 08:33",TRUE,"Университет, Институт, техникум"
44,11 декабря 1989,Христианство,хорошо,Не женат (не замужем),13,Мужской,FALSE,TRUE,TRUE,new,"января 13, 2016 12:40",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
45,13 апреля 1992,Православие,отлично,Не женат (не замужем),14-Dec,Женский,FALSE,TRUE,TRUE,new,"января 14, 2016 09:53",TRUE,"Университет, Институт, техникум"
46,29 октября 1993,Православие,отлично,Не женат (не замужем),15,Не имеет значения,FALSE,TRUE,TRUE,new,"января 20, 2016 05:27",TRUE,"Университет, Институт, техникум"
47,7 января 1994,Нет вероисповедания,хорошо,Женат (замужем),12,Женский,TRUE,TRUE,TRUE,new,"января 20, 2016 10:47",TRUE,"Университет, Институт, техникум"
48,4 апреля 1990,Христианство,хорошо,Не женат (не замужем),14,Не имеет значения,FALSE,TRUE,TRUE,approved,"января 20, 2016 17:44",TRUE,"Университет, Институт, техникум"
49,23 декабря 1990,"Все религии понемногу изучаю, ближе православие",хорошо,Не женат (не замужем),15,Не имеет значения,TRUE,TRUE,TRUE,new,"января 21, 2016 09:27",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
50,31 октября 1982,Русская,хорошо,Разведён (разведена),14,Мужской,TRUE,TRUE,TRUE,new,"января 22, 2016 03:48",TRUE,"Университет, Институт, техникум"
51,26 февраля 1987,Христианство ,отлично,Разведён (разведена),12,Не имеет значения,TRUE,TRUE,TRUE,new,"января 22, 2016 17:26",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
52,14 августа 1980,Православие,хорошо,Не женат (не замужем),12,Женский,FALSE,TRUE,TRUE,new,"января 30, 2016 15:08",TRUE,"Университет, Институт, техникум"
53,6 сентября 1987,Православное,отлично,Женат (замужем),14,Женский,FALSE,TRUE,TRUE,new,"февраля 02, 2016 14:02",TRUE,"Университет, Институт, техникум"
54,26 апреля 1967,Православие,хорошо,Разведён (разведена),12,Не имеет значения,TRUE,TRUE,TRUE,new,"февраля 04, 2016 12:48",TRUE,"Университет, Институт, техникум"
55,8 марта 1996,Православие,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"февраля 07, 2016 03:40",TRUE, - 
56,1 января 1996,Православие,хорошо,Не женат (не замужем),15,Не имеет значения,TRUE,TRUE,TRUE,new,"февраля 08, 2016 14:53",TRUE,"Университет, Институт, техникум"
57,9 декабря 1983,Православие,отлично,Не женат (не замужем),13,Не имеет значения,FALSE,TRUE,TRUE,new,"февраля 09, 2016 18:39",TRUE,"Университет, Институт, техникум"
58,27 мая 1985,Православие,отлично,Женат (замужем),15-17,Не имеет значения,FALSE,TRUE,TRUE,new,"февраля 13, 2016 09:29",TRUE,"Университет, Институт, техникум"
59,16 мая 1984,Православие,хорошо,Женат (замужем),12,Женский,FALSE,TRUE,TRUE,new,"февраля 14, 2016 17:04",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум,Университет, Институт, техникум"
60,18 июля 1984,Атеизм,отлично,Женат (замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"февраля 15, 2016 12:33",TRUE,"Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум"
61,1 января 1995,Православие,хорошо,Гражданский брак,14,Не имеет значения,FALSE,TRUE,TRUE,new,"февраля 15, 2016 14:31",TRUE,"Университет, Институт, техникум"
62,26 марта 1991,агностик,отлично,Не женат (не замужем),12,Не имеет значения,FALSE,TRUE,TRUE,new,"февраля 17, 2016 04:54",TRUE,Общеобразовательная школа
63,26 апреля 1990,Атеизм,хорошо,Не женат (не замужем),16,Не имеет значения,FALSE,TRUE,TRUE,new,"февраля 17, 2016 16:38",TRUE,"Университет, Институт, техникум"
64,1 января 1995,Православие,отлично,Гражданский брак,7,Не имеет значения,TRUE,TRUE,TRUE,new,"февраля 19, 2016 17:05",TRUE,"Университет, Институт, техникум,Общеобразовательная школа"
65,20 февраля 2016,Христианин,отлично,Разведён (разведена),5,Не имеет значения,TRUE,TRUE,TRUE,new,"февраля 20, 2016 16:26",TRUE,"Университет, Институт, техникум"
66,26 апреля 1988,Православие,отлично,Не женат (не замужем),12,Женский,TRUE,TRUE,TRUE,new,"февраля 21, 2016 10:08",TRUE,"Университет, Институт, техникум"
67,19 мая 1994,Христианство,отлично,Не женат (не замужем),14,Женский,FALSE,TRUE,TRUE,new,"февраля 22, 2016 04:56",TRUE,"Дополнительные курсы, тренинги, семинары,Университет, Институт, техникум"
68,17 мая 1988,Православие,хорошо,Женат (замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"февраля 22, 2016 05:12",TRUE,"Университет, Институт, техникум"
69,26 мая 1991,Православие,хорошо,Не женат (не замужем),12,Женский,TRUE,TRUE,TRUE,new,"февраля 27, 2016 08:36",TRUE,"Университет, Институт, техникум,Университет, Институт, техникум"
70,6 июня 1980,агностик,хорошо,Женат (замужем),12,Не имеет значения,FALSE,TRUE,TRUE,approved,"февраля 27, 2016 09:41",TRUE,"Университет, Институт, техникум"
71,23 марта 1981,Православие,отлично,Разведён (разведена),12,Не имеет значения,TRUE,TRUE,TRUE,new,"февраля 27, 2016 18:50",TRUE,"Университет, Институт, техникум"
72,17 февраля 1995,Православие,отлично,Женат (замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"февраля 28, 2016 03:38",TRUE,"Университет, Институт, техникум"
73,12 декабря 1984,Атеизм,средне,Не женат (не замужем),14,Мужской,TRUE,TRUE,TRUE,new,"февраля 29, 2016 15:52",TRUE,"Университет, Институт, техникум"
74,9 ноября 1997,Атеизм,отлично,Не женат (не замужем),12,Не имеет значения,TRUE,TRUE,TRUE,new,"марта 02, 2016 13:34",TRUE,Общеобразовательная школа
